emp_no,first_name,last_name,title,from_date,salary,count
435456,Chiradeep,Bazzichi,Senior Engineer,2002-07-14,45009,15600
44873,Eberhardt,Raczkowsky,Senior Staff,2002-07-14,47739,14736
64796,Xiadong,Auria,Senior Staff,2002-07-14,66457,14736
57715,Shaibal,Chinen,Senior Staff,2002-07-13,40000,14736
234816,Filipe,Langford,Senior Engineer,2002-07-13,51399,15600
96138,Lidong,Ghalwash,Senior Engineer,2002-07-13,40000,15600
205245,Angus,Raczkowsky,Senior Engineer,2002-07-11,54462,15600
58475,Angel,Chaudhury,Senior Engineer,2002-07-11,40000,15600
281118,Munir,Leaver,Senior Staff,2002-07-10,72801,14736
226568,Deniz,Frezza,Senior Staff,2002-07-10,52504,14736
105264,Chrisa,Simkin,Senior Staff,2002-07-10,56850,14736
292198,Geoff,Gien,Senior Staff,2002-07-10,91548,14736
35333,Hideyuki,Veldwijk,Senior Engineer,2002-07-10,43872,15600
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,41714,15600
232276,Berna,Ruemmler,Senior Staff,2002-07-09,40000,14736
35570,Baocai,Katzenelson,Senior Engineer,2002-07-09,55970,15600
283185,Fabrizio,Schapire,Senior Engineer,2002-07-09,40000,15600
427055,Toong,Rosis,Senior Engineer,2002-07-09,40000,15600
488941,Wayne,Zeidenstein,Senior Staff,2002-07-09,46812,14736
32465,Yucel,Dymetman,Senior Engineer,2002-07-09,40000,15600
56808,Yuriy,Anick,Senior Staff,2002-07-08,40000,14736
275189,Sachar,Katzenelson,Engineer,2002-07-08,45637,16111
486012,Ramzi,Shanbhogue,Senior Engineer,2002-07-08,51735,15600
226275,Alain,Katiyar,Senior Engineer,2002-07-08,77454,15600
223543,Basil,Peres,Senior Engineer,2002-07-08,61263,15600
415320,Mingzeng,Mullainathan,Senior Engineer,2002-07-07,40000,15600
81079,Nahla,Mellouli,Senior Staff,2002-07-07,53145,14736
207793,Magdalena,Passafiume,Senior Engineer,2002-07-07,40000,15600
298261,Tommaso,Mateescu,Senior Engineer,2002-07-07,47420,15600
20558,Toong,Panangaden,Senior Staff,2002-07-07,40000,14736
285002,Turgut,Ranai,Senior Engineer,2002-07-06,42271,15600
259583,Kiyomitsu,Swan,Senior Staff,2002-07-06,40000,14736
106417,Kwun,Clouatre,Senior Staff,2002-07-06,40000,14736
445910,Patricia,Fritzsche,Senior Staff,2002-07-06,53423,14736
109189,Billie,Codenie,Senior Staff,2002-07-05,73531,14736
273601,Anwar,Seiwald,Senior Engineer,2002-07-05,40000,15600
401017,Shigeu,Provine,Senior Staff,2002-07-05,76730,14736
416690,Ulf,Mahmud,Senior Staff,2002-07-05,80568,14736
413160,Tadanori,Felcyn,Senior Staff,2002-07-05,94214,14736
36573,Xuedong,Lakshmanan,Senior Engineer,2002-07-04,40000,15600
278531,Zeljko,Serre,Senior Staff,2002-07-04,55662,14736
262216,Ennio,Auria,Senior Staff,2002-07-04,76452,14736
295365,Jianhui,Bridgland,Senior Engineer,2002-07-04,47401,15600
451010,Ger,Schusler,Senior Engineer,2002-07-04,51933,15600
241880,Moty,Erev,Senior Staff,2002-07-04,66915,14736
109809,Kazuhide,Cherinka,Senior Engineer,2002-07-04,41558,15600
77325,Feiyu,Brickell,Senior Staff,2002-07-03,70697,14736
289961,Kitty,Ponthieu,Senior Engineer,2002-07-02,66418,15600
24596,Ayonca,Stranks,Senior Staff,2002-07-02,68819,14736
492323,Houman,Stanfel,Senior Staff,2002-07-02,96794,14736
69647,Deborah,Pileggi,Senior Staff,2002-07-02,64210,14736
59783,Volkmar,Raczkowsky,Senior Staff,2002-07-02,60047,14736
50512,Yolla,Shimshoni,Senior Engineer,2002-07-01,40000,15600
462289,Kenroku,Adachi,Senior Engineer,2002-07-01,44191,15600
24383,Aksel,Erev,Senior Engineer,2002-06-30,40000,15600
285243,Lakshmi,Vieth,Senior Staff,2002-06-30,52052,14736
255499,Dannz,Engelmann,Senior Staff,2002-06-30,72737,14736
265161,Hausi,Pfau,Senior Staff,2002-06-30,40000,14736
35510,JoAnne,Merks,Senior Engineer,2002-06-30,40000,15600
104610,Fusako,Peak,Senior Staff,2002-06-29,61345,14736
488121,Urs,Schneeberger,Senior Engineer,2002-06-29,40000,15600
61465,Sumant,Huttel,Senior Staff,2002-06-29,44950,14736
15066,Tomokazu,Oaver,Senior Engineer,2002-06-29,43455,15600
45977,Ulf,Wiegley,Senior Staff,2002-06-28,44570,14736
290536,Kiam,Janetzko,Senior Engineer,2002-06-28,40000,15600
211837,Billur,Porotnikoff,Senior Engineer,2002-06-28,40000,15600
281699,Filipe,Penz,Senior Staff,2002-06-28,40000,14736
458058,Marjo,Klassen,Senior Engineer,2002-06-26,42140,15600
33205,Matk,Egerstedt,Senior Engineer,2002-06-25,67507,15600
43996,Hiroyasu,Bodoff,Senior Engineer,2002-06-25,57941,15600
280598,Takanari,Lovengreen,Senior Staff,2002-06-25,40920,14736
285294,Sorina,Kitai,Senior Engineer,2002-06-24,56537,15600
490453,Eckart,Baik,Senior Engineer,2002-06-24,40000,15600
208256,Hugh,Mungall,Senior Engineer,2002-06-24,40000,15600
449604,Ottavia,Varman,Senior Engineer,2002-06-24,45571,15600
262041,Eckart,Valette,Senior Engineer,2002-06-24,40000,15600
471942,Heekeun,Hardjono,Senior Engineer,2002-06-23,59805,15600
239873,Mohd,Baaz,Senior Engineer,2002-06-23,47475,15600
105167,Lillian,Comyn,Senior Staff,2002-06-23,68908,14736
462859,Xinglin,Gire,Senior Engineer,2002-06-23,40000,15600
221475,Wilmer,Engelmann,Senior Engineer,2002-06-22,43027,15600
474194,Ult,Iisaka,Senior Engineer,2002-06-22,46451,15600
277869,Berto,Kakkar,Senior Engineer,2002-06-22,55457,15600
73868,Moon,Goodrum,Senior Engineer,2002-06-22,79654,15600
30606,Chuanyi,Shrader,Senior Engineer,2002-06-22,50508,15600
65594,Dietrich,Sadowski,Senior Engineer,2002-06-21,40000,15600
494853,Yechiam,Lunt,Senior Staff,2002-06-21,72948,14736
254880,Tran,Rassart,Senior Staff,2002-06-21,77640,14736
440788,Zita,Mawatari,Senior Engineer,2002-06-21,41491,15600
44682,Souichi,Boissier,Senior Staff,2002-06-19,82058,14736
413905,Piyawadee,Gelosh,Engineer,2002-06-19,55848,16111
475810,Martial,Bellone,Senior Staff,2002-06-18,61994,14736
87637,Qingxiang,Aamodt,Senior Staff,2002-06-18,40000,14736
209316,Jaana,Kuszyk,Senior Engineer,2002-06-18,40000,15600
22012,DeForest,Armand,Senior Engineer,2002-06-18,42886,15600
445220,Florina,Luft,Senior Staff,2002-06-17,58098,14736
35558,Kshitij,Staudhammer,Senior Staff,2002-06-17,62866,14736
47766,Gunilla,Simmel,Senior Staff,2002-06-17,55261,14736
95541,Chinho,Whitcomb,Senior Engineer,2002-06-17,40000,15600
404674,Rajmohan,Furedi,Senior Engineer,2002-06-17,53382,15600
256852,Shir,Tanemo,Senior Staff,2002-06-17,61271,14736
257274,Yagil,Perfilyeva,Senior Engineer,2002-06-17,40000,15600
47293,Unal,Beidas,Senior Engineer,2002-06-16,40000,15600
48371,Valery,Krupka,Senior Staff,2002-06-16,60182,14736
484799,Peternela,Roohalamini,Senior Engineer,2002-06-16,46839,15600
409685,Hausi,Brandsma,Senior Engineer,2002-06-16,43218,15600
486925,Saeed,Hatcliff,Senior Engineer,2002-06-16,44066,15600
33216,Zdislav,Thombley,Senior Staff,2002-06-15,68912,14736
405774,Weiyi,Cmelik,Senior Engineer,2002-06-14,40000,15600
242863,Debaprosad,Otillio,Senior Staff,2002-06-14,55529,14736
234703,Deborah,Levasseur,Engineer,2002-06-14,58316,16111
243208,Sachin,Biros,Senior Staff,2002-06-13,40000,14736
50590,Leucio,Calkin,Senior Engineer,2002-06-13,40000,15600
85811,Dayanand,Bain,Senior Engineer,2002-06-13,60982,15600
19744,Aleksander,Skafidas,Senior Engineer,2002-06-13,59739,15600
427817,Vishv,Kading,Senior Engineer,2002-06-13,40000,15600
92983,Masoud,Rosca,Senior Engineer,2002-06-12,48444,15600
445410,Elvia,Brodie,Senior Engineer,2002-06-12,66788,15600
35865,Claudi,Fujisaki,Senior Engineer,2002-06-11,40000,15600
452451,Duro,Matzen,Engineer,2002-06-10,64113,16111
407956,Yonghong,Kawashima,Senior Staff,2002-06-10,91362,14736
484282,Tetsushi,Anick,Senior Staff,2002-06-09,53111,14736
401298,Narain,Plotkin,Senior Staff,2002-06-09,40000,14736
450217,Petter,Gluchowski,Senior Engineer,2002-06-09,40000,15600
64969,Jasminko,Kawashima,Senior Engineer,2002-06-09,40000,15600
482539,Bikash,Pehl,Senior Engineer,2002-06-08,40000,15600
407824,Sreekrishna,Kalsbeek,Senior Engineer,2002-06-08,64167,15600
451441,Sahrah,Rijckaert,Senior Staff,2002-06-07,56396,14736
228524,Erzsebet,Androutsos,Senior Engineer,2002-06-07,40000,15600
102483,Qingxiang,Boissier,Senior Engineer,2002-06-07,40000,15600
44060,Luigi,Brattka,Senior Engineer,2002-06-07,40000,15600
39883,Moriyoshi,Luan,Senior Engineer,2002-06-06,40000,15600
108985,Masanao,Bressoud,Senior Engineer,2002-06-06,59458,15600
65568,Mark,Ventosa,Senior Engineer,2002-06-06,44039,15600
447132,Masaru,Crelier,Senior Staff,2002-06-06,50938,14736
489782,Jiong,Schnabel,Senior Engineer,2002-06-06,60818,15600
108179,Constantijn,Crelier,Senior Engineer,2002-06-05,54941,15600
419062,Stafford,Walstra,Senior Engineer,2002-06-05,70299,15600
400141,Suebskul,Rassart,Senior Engineer,2002-06-04,46768,15600
84809,Hironoby,Zobel,Senior Engineer,2002-06-03,40000,15600
96083,Khalil,Muchinsky,Senior Staff,2002-06-03,47965,14736
29120,Parto,Bergere,Senior Staff,2002-06-03,85465,14736
250129,Karoline,Duclos,Senior Engineer,2002-06-03,40000,15600
409153,Arie,Backhouse,Senior Staff,2002-06-02,80090,14736
465904,Lorien,Schmezko,Senior Engineer,2002-06-02,40000,15600
438544,Faiza,Lukaszewicz,Senior Engineer,2002-06-02,40000,15600
229461,Berto,Raczkowsky,Senior Staff,2002-06-02,77682,14736
14723,Constantino,Assaf,Senior Staff,2002-06-01,40000,14736
202360,Indrajit,Jeong,Senior Staff,2002-06-01,48372,14736
18946,Gio,Warwick,Senior Engineer,2002-06-01,40000,15600
27396,Brendon,Zykh,Senior Engineer,2002-06-01,55838,15600
437678,Val,Pocchiola,Senior Engineer,2002-06-01,44462,15600
298276,Zito,Sgarro,Senior Engineer,2002-06-01,40000,15600
91228,Hauke,Leijenhorst,Senior Engineer,2002-05-31,54436,15600
274044,Yuchang,Erni,Senior Engineer,2002-05-30,55056,15600
229649,DAIDA,Montresor,Senior Engineer,2002-05-29,40000,15600
34600,Godehard,Middleton,Senior Staff,2002-05-29,67242,14736
473812,Khue,Levergood,Senior Staff,2002-05-28,79856,14736
480670,Sanjoy,Penz,Senior Staff,2002-05-28,92833,14736
413791,Jiong,Zaumen,Senior Staff,2002-05-28,60814,14736
262663,Fumino,Riexinger,Senior Staff,2002-05-28,42308,14736
261527,Arunachalam,Butner,Senior Engineer,2002-05-27,41800,15600
498311,Rajmohan,Zeidenstein,Senior Staff,2002-05-27,46937,14736
30948,Xinan,Lunt,Senior Engineer,2002-05-27,50840,15600
284056,Tze,Ambroszkiewicz,Senior Engineer,2002-05-27,63252,15600
266827,Udi,Gronowski,Senior Engineer,2002-05-26,40000,15600
412444,Gio,Fritzsche,Senior Engineer,2002-05-26,53835,15600
449520,Navid,Mansanne,Senior Staff,2002-05-26,40000,14736
93291,Kasidit,Hofstetter,Senior Staff,2002-05-26,60896,14736
65663,Rafael,Leppanen,Senior Engineer,2002-05-26,50166,15600
444553,Nikolaus,Gluchowski,Senior Staff,2002-05-25,97585,14736
285348,Jianhui,Bardell,Senior Engineer,2002-05-24,40000,15600
39405,Toong,Millington,Senior Engineer,2002-05-24,50102,15600
67227,Shuky,Showalter,Senior Engineer,2002-05-24,40000,15600
109010,Shaibal,Yavatkar,Senior Engineer,2002-05-23,40000,15600
412093,Avishai,Engelmann,Senior Staff,2002-05-23,91917,14736
416096,Nobuyoshi,Ginneken,Senior Engineer,2002-05-23,47236,15600
481695,Bikash,Pusterhofer,Senior Staff,2002-05-21,40000,14736
471991,Janche,Farrag,Senior Engineer,2002-05-21,40000,15600
290062,Godehard,Morrow,Senior Staff,2002-05-21,66211,14736
455054,Ingemar,Lores,Senior Staff,2002-05-21,63990,14736
459483,Shmuel,Docker,Senior Staff,2002-05-21,69722,14736
203318,Xudong,Cooley,Senior Engineer,2002-05-21,56536,15600
64556,Xiaopeng,Fritzsche,Senior Engineer,2002-05-21,40000,15600
70164,Ult,Bergere,Senior Engineer,2002-05-20,52833,15600
19120,Giri,Qiwen,Engineer,2002-05-20,49416,16111
59242,Fun,Peak,Senior Staff,2002-05-19,65859,14736
266333,Moss,Oppitz,Senior Staff,2002-05-19,52343,14736
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731,15600
87769,Subhrajyoti,Tomescu,Senior Engineer,2002-05-19,76979,15600
277729,Shirish,Nanard,Senior Staff,2002-05-19,40000,14736
281084,Sven,Bugaenko,Senior Engineer,2002-05-18,41542,15600
472720,Gal,Sudbeck,Senior Engineer,2002-05-18,40000,15600
412644,Gritta,Kropatsch,Senior Staff,2002-05-17,56090,14736
274463,Uli,Glowinski,Senior Engineer,2002-05-17,40000,15600
464504,Weiwu,Shrader,Senior Staff,2002-05-16,60909,14736
459031,Kazuhiro,Raoux,Senior Staff,2002-05-16,55137,14736
401000,Barry,Reeker,Senior Engineer,2002-05-16,70084,15600
401410,Hitomi,Domenig,Senior Staff,2002-05-16,40000,14736
266049,Odysseas,Delaune,Senior Staff,2002-05-15,67285,14736
283496,Kenroku,Flasterstein,Senior Staff,2002-05-15,69688,14736
486372,Hsiangchu,Renear,Senior Staff,2002-05-14,63537,14736
274554,Sakthirel,Rattan,Senior Engineer,2002-05-13,56199,15600
467357,Suebskul,Lichtman,Senior Engineer,2002-05-13,48994,15600
431480,Zhigen,Christ,Senior Staff,2002-05-13,63778,14736
31956,Ziyad,Gecsei,Senior Staff,2002-05-13,59475,14736
271603,Szabolcs,Carrere,Senior Staff,2002-05-12,40000,14736
292776,Marie,Zeidenstein,Senior Staff,2002-05-12,42843,14736
65858,Martins,Awdeh,Senior Engineer,2002-05-11,40189,15600
108053,Abdelghani,Nilsson,Senior Staff,2002-05-11,76316,14736
36874,Genki,Aloia,Senior Staff,2002-05-11,62935,14736
471529,Munir,Aloia,Senior Staff,2002-05-10,76906,14736
35046,Sachem,Luders,Senior Staff,2002-05-10,62184,14736
476933,Mayuri,Kobara,Senior Staff,2002-05-10,40000,14736
474895,Michaela,Hertweck,Senior Staff,2002-05-10,46350,14736
475221,Yuqun,Rassart,Senior Engineer,2002-05-10,65150,15600
202418,Xumin,Vuskovic,Senior Staff,2002-05-09,55459,14736
264126,Toshiki,Thimonier,Engineer,2002-05-09,71356,16111
70052,Vivian,Hartvigsen,Senior Engineer,2002-05-09,47782,15600
204131,Kazuhira,Luit,Senior Staff,2002-05-09,40000,14736
23369,Khalil,Zykh,Senior Staff,2002-05-09,61057,14736
99161,Ramya,Heyers,Senior Engineer,2002-05-08,51933,15600
422685,Reinhard,Oxman,Senior Engineer,2002-05-08,71169,15600
426864,Dines,Rissanen,Senior Engineer,2002-05-08,58175,15600
417510,Yonghong,Ernst,Senior Staff,2002-05-08,57967,14736
271272,Willard,Matheson,Senior Engineer,2002-05-07,40000,15600
223927,Bernice,Furudate,Senior Engineer,2002-05-07,40000,15600
66425,Mats,Eppinger,Senior Engineer,2002-05-07,57825,15600
419470,Larisa,Antonakopoulos,Senior Staff,2002-05-07,40000,14736
287152,Raimond,Comte,Senior Staff,2002-05-07,40000,14736
481872,Moty,Usdin,Senior Engineer,2002-05-07,40000,15600
498670,Aram,Menyhert,Senior Staff,2002-05-06,69027,14736
426274,Valdiodio,Pillow,Senior Engineer,2002-05-06,59911,15600
444641,Unal,Zallocco,Senior Engineer,2002-05-06,58458,15600
16000,Marek,Demos,Senior Engineer,2002-05-05,40000,15600
228655,Jiong,Blokdijk,Senior Staff,2002-05-05,71596,14736
107245,Horward,Docker,Senior Staff,2002-05-05,68492,14736
422614,Anneke,Wuwongse,Senior Engineer,2002-05-05,40000,15600
18933,Barun,Panienski,Senior Engineer,2002-05-04,47862,15600
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,48230,15600
415404,Zhongwei,Gonthier,Senior Engineer,2002-05-03,40000,15600
272945,Tran,Mayerwieser,Senior Engineer,2002-05-03,40000,15600
70530,Qunsheng,Stille,Senior Engineer,2002-05-02,40000,15600
297486,Qingxiang,Ducloy,Senior Staff,2002-05-02,40000,14736
442862,Munehiro,Dayang,Senior Staff,2002-05-02,43013,14736
411544,Byong,Legleitner,Senior Staff,2002-05-02,71666,14736
45828,Panayotis,Litzkow,Senior Engineer,2002-05-02,65770,15600
254292,Pranas,Eppinger,Senior Staff,2002-05-01,82442,14736
293946,Nadjib,Merro,Senior Staff,2002-05-01,45167,14736
221356,Pradeep,Hagimont,Senior Engineer,2002-05-01,43732,15600
216965,Badri,Birke,Senior Staff,2002-04-30,54761,14736
413671,Aral,Moehrke,Senior Staff,2002-04-30,78073,14736
271344,Eckart,Rodiger,Senior Staff,2002-04-30,40000,14736
217451,Sanjoy,Giarratana,Senior Staff,2002-04-30,57706,14736
284809,Tru,Danner,Senior Engineer,2002-04-30,76478,15600
232416,Tokuyasu,Binkley,Senior Engineer,2002-04-29,59754,15600
238847,Barton,Buchter,Senior Engineer,2002-04-29,40000,15600
490337,Faiza,Clemencon,Senior Engineer,2002-04-29,40000,15600
206416,Ronnie,Kopetz,Senior Staff,2002-04-29,59918,14736
254043,Saddek,Peng,Senior Staff,2002-04-29,40000,14736
90261,Rimli,Merle,Senior Engineer,2002-04-28,40000,15600
448037,Niclas,Trachtenberg,Senior Engineer,2002-04-28,57671,15600
460851,Uzi,Anily,Senior Staff,2002-04-28,40000,14736
210671,Serap,Tsukuda,Senior Staff,2002-04-28,40000,14736
214078,Surveyors,Merli,Senior Staff,2002-04-27,76255,14736
447008,Zsolt,Cooman,Senior Staff,2002-04-27,67211,14736
230188,Snehasis,Krychniak,Senior Staff,2002-04-27,40000,14736
75589,Sudharsan,Ghazalie,Senior Staff,2002-04-27,41806,14736
485212,Magdalena,Besancenot,Senior Engineer,2002-04-26,40000,15600
44875,Goh,Reinhart,Senior Staff,2002-04-26,73457,14736
462140,Josyula,Chleq,Senior Engineer,2002-04-26,40000,15600
226987,Arif,Delgrossi,Engineer,2002-04-25,55209,16111
107101,Moni,Crabtree,Senior Engineer,2002-04-24,40232,15600
97104,Chiranjit,Ashish,Senior Engineer,2002-04-23,60436,15600
218927,Saddek,Jenevein,Senior Staff,2002-04-23,60013,14736
108627,Kenroku,Harbusch,Senior Staff,2002-04-22,56920,14736
481526,Shim,Stemann,Senior Engineer,2002-04-22,40000,15600
214753,Stafford,dAstous,Senior Engineer,2002-04-22,40000,15600
413911,Siamak,Karlin,Senior Engineer,2002-04-21,65383,15600
263061,Xiaobin,Jenevein,Senior Staff,2002-04-21,65580,14736
297639,Serenella,Auyong,Senior Engineer,2002-04-21,48298,15600
228285,Weiwu,Pollock,Senior Engineer,2002-04-21,40000,15600
244654,Suzette,Katiyar,Senior Engineer,2002-04-21,55724,15600
424205,Paris,Shumilov,Senior Engineer,2002-04-21,40000,15600
212742,Gal,Melter,Senior Staff,2002-04-20,69846,14736
292464,Gennady,Choobineh,Senior Engineer,2002-04-19,40000,15600
72400,Charmane,Merel,Senior Staff,2002-04-19,40000,14736
424250,Suzette,Wendorf,Senior Staff,2002-04-19,63665,14736
19422,Florian,Budinsky,Senior Engineer,2002-04-18,48435,15600
456361,Bouchung,Georgatos,Senior Engineer,2002-04-18,40000,15600
267012,Armond,Lodder,Senior Engineer,2002-04-17,49569,15600
435126,Zeydy,Bernardeschi,Senior Staff,2002-04-17,41687,14736
98766,Gretta,Buchter,Senior Engineer,2002-04-16,69215,15600
86674,Fumiya,Candan,Senior Staff,2002-04-16,40000,14736
410798,Fumiyo,Plumb,Senior Engineer,2002-04-16,51953,15600
410029,Martins,Lung,Senior Engineer,2002-04-16,63720,15600
19493,Caolyn,Tramer,Senior Engineer,2002-04-16,59120,15600
439518,Kenroku,Homond,Senior Engineer,2002-04-15,40000,15600
288461,Nathan,Madeira,Senior Staff,2002-04-15,68688,14736
259726,Houman,Cyne,Senior Engineer,2002-04-15,40000,15600
202677,LiMin,Decaestecker,Senior Engineer,2002-04-15,40000,15600
105886,Stafford,Mitchem,Senior Staff,2002-04-15,79210,14736
474388,Shooichi,Bach,Senior Staff,2002-04-14,64476,14736
401593,Susanna,Seiwald,Senior Staff,2002-04-14,65315,14736
239287,Mario,Katiyar,Senior Engineer,2002-04-14,48533,15600
438267,Malu,Sichman,Senior Staff,2002-04-14,44058,14736
481502,Bikash,Fordan,Senior Engineer,2002-04-13,40000,15600
216138,Giordano,Shanbhogue,Senior Engineer,2002-04-13,40000,15600
443823,Chaitali,Axelband,Senior Staff,2002-04-13,54033,14736
104941,Yonghong,Schaap,Senior Engineer,2002-04-13,43708,15600
444370,Masanao,Genin,Senior Staff,2002-04-12,40000,14736
440010,King,Lamma,Senior Engineer,2002-04-12,40000,15600
266708,Nahid,Ariola,Senior Engineer,2002-04-12,40000,15600
268436,Phuoc,Onuegbe,Senior Engineer,2002-04-11,40000,15600
287646,Otilia,Etalle,Senior Engineer,2002-04-11,40000,15600
440400,Vasiliy,Karlin,Senior Staff,2002-04-11,73947,14736
212042,Sigeru,Brizzi,Senior Staff,2002-04-09,46054,14736
39323,Zita,Ratnaker,Senior Engineer,2002-04-08,53506,15600
262566,Rafols,Ladret,Senior Engineer,2002-04-08,40000,15600
292712,Gro,Leuchs,Senior Engineer,2002-04-08,55328,15600
487849,Sanjiv,Perna,Senior Engineer,2002-04-08,47070,15600
71545,Denny,Nittel,Senior Staff,2002-04-06,47637,14736
218592,Shalesh,McDermid,Senior Staff,2002-04-06,67463,14736
469145,Berhard,Szilard,Senior Staff,2002-04-05,40000,14736
431731,Jianhao,Ermel,Engineer,2002-04-05,54343,16111
245969,Akhilish,Kushner,Senior Staff,2002-04-04,72956,14736
243592,Radhia,Frolund,Senior Staff,2002-04-02,59404,14736
203376,Rajmohan,Curless,Senior Staff,2002-04-02,40000,14736
452093,Fun,Menhoudj,Senior Engineer,2002-04-02,58624,15600
251971,Harjit,Demke,Senior Engineer,2002-04-02,64062,15600
36877,Shahaf,Ranst,Senior Staff,2002-04-02,63066,14736
264848,Gino,Fandrianto,Senior Engineer,2002-04-01,46133,15600
487986,Jackson,Geffroy,Senior Staff,2002-03-31,86827,14736
457054,Pascal,Litecky,Senior Engineer,2002-03-31,40000,15600
21432,Kerhong,Weisert,Senior Staff,2002-03-30,45799,14736
279105,Shuichi,Litecky,Senior Engineer,2002-03-30,40000,15600
261136,Vishv,Joslin,Senior Staff,2002-03-29,103702,14736
467970,Utz,Kuzuoka,Senior Staff,2002-03-29,63653,14736
41173,Maren,Aseltine,Senior Engineer,2002-03-29,42081,15600
53162,Marke,Bamford,Senior Engineer,2002-03-29,47988,15600
46440,Pranav,Rosay,Engineer,2002-03-28,53108,16111
210509,Shichao,Braunschweig,Senior Staff,2002-03-28,40000,14736
287247,Temple,Michaeli,Senior Engineer,2002-03-28,40000,15600
24207,Frazer,Rodham,Engineer,2002-03-27,40389,16111
33183,Haldun,Veldwijk,Senior Engineer,2002-03-26,48354,15600
23151,Ortrun,Lunt,Senior Engineer,2002-03-26,91783,15600
443747,Sorina,Genther,Senior Staff,2002-03-26,62440,14736
223314,Tamiya,Rahier,Senior Staff,2002-03-25,49113,14736
273718,Padma,Nitto,Senior Engineer,2002-03-25,66725,15600
28782,Marl,Yemenis,Engineer,2002-03-25,48475,16111
231702,Sahrah,Vieri,Senior Staff,2002-03-25,56117,14736
489381,Elzbieta,VanScheik,Senior Engineer,2002-03-25,44966,15600
